"EntitySet","EntityType","PropertyCount","Properties"
"Catalog_КатегорииНоменклатуры","StandardODATA.Catalog_КатегорииНоменклатуры","66","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Parent_Key, IsFolder, DeletionMark, Весовой, ВидАлкогольнойПродукции_Key, ВидСтавкиНДС, ЕдиницаИзмерения_Key, ИмпортнаяАлкогольнаяПродукция, ИспользоватьХарактеристики, КатегорияПоКлассификатору, МетодОценки, НаборСвойств_Key, НаборСвойствХарактеристики_Key, НаправлениеДеятельности_Key, PS_СоциальноЗначимыеТовары, PS_НоменклатурныйКод, ПроверятьЗаполнениеХарактеристики, РеквизитДопУпорядочивания, Склад_Key, СчетУчетаДоходов_Key, СчетУчетаЗапасов_Key, СчетУчетаЗатрат_Key, СрокИсполненияЗаказа, ТипНоменклатурыПоУмолчанию, ШаблонЦенника_Key, ШаблонЭтикетки_Key, ИспользоватьПроизводителяВЕТИСПартии, ИспользоватьЗаписьСкладскогоЖурналаВЕТИСПартии, ИспользоватьИдентификаторПартииВЕТИСПартии, ИспользоватьДатуПроизводстваПартии, ИспользоватьСрокГодностиПартии, АвтоматическиГенерироватьПартии, ИспользоватьНомерПартии, ПодконтрольнаяПродукцияВЕТИС, СпособПополнения, ЦеноваяГруппа_Key, Ячейка_Key, НаборСвойствСпецификации_Key, ВидМаркировки, КиЗГИСМВид, КиЗГИСМСпособВыпускаВОборот, КиЗГИСМРазмер, КиЗГИСМGTIN, ТНВЭДГИСМ, ТабачнаяПродукция, ПроизводительИмпортерАлкогольнойПродукции_Key, Производитель_Key, СтранаПроисхождения_Key, ОбувнаяПродукция, ВидПродукцииИС, ПодакцизныйТовар, ИспользоватьСерииНоменклатуры, ПолитикаУчетаСерий_Key, ИндивидуальныеНастройкиПолитикиУчетаСерий, ИспользоватьСрокГодностиСерии, ИспользоватьДатуПроизводстваСерии, ТочностьУказанияСрокаГодностиСерии, ИспользоватьУникальныеСерии, НаборСвойствКомплектацииНоменклатуры_Key, ПорядокСортировки"
"Catalog_КонтактныеЛица","StandardODATA.Catalog_КонтактныеЛица","28","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Parent_Key, IsFolder, DeletionMark, АдресЭПДляПоиска, ГруппаДоступа_Key, ДатаРождения, ДатаСоздания, ДокументУдостоверяющийЛичность, ИсточникПривлечения_Key, Комментарий, Недействителен, НомерТелефонаДляПоиска, ОсновныеСведения, Ответственный_Key, Пол, СписокРолей, УдалитьДолжность, УдалитьРеквизитДопУпорядочивания, Роли, КонтактнаяИнформация, ДополнительныеРеквизиты, Теги"
"Catalog_Контрагенты","StandardODATA.Catalog_Контрагенты","61","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Parent_Key, IsFolder, DeletionMark, НаименованиеПолное, БанковскийСчетПоУмолчанию_Key, ВалютаРасчетовПоУмолчанию_Key, ВестиРасчетыПоДоговорам, ВестиРасчетыПоДокументам, ВестиРасчетыПоЗаказам, ВестиУчетОплатыПоСчетам, ВидГосударственногоОргана, ВидКонтрагента, СтранаРегистрации_Key, ГруппаДоступа_Key, ДатаРождения, ДатаСоздания, ДокументУдостоверяющийЛичность, АдресЭПДляПоиска, ИННВведенКорректно, ИсточникПривлеченияПокупателя_Key, КодГосударственногоОргана, ГоловнойКонтрагент_Key, Комментарий, КонтактноеЛицо_Key, КонтактноеЛицоПодписант_Key, ИНН, КППВведенКорректно, КПП, Недействителен, НомерТелефонаДляПоиска, ОсновныеСведения, Ответственный_Key, Покупатель, Пол, Поставщик, ПрочиеОтношения, РасчетыВУсловныхЕдиницахПоУмолчанию, РегистрационныйНомер, СвидетельствоДатаВыдачи, СвидетельствоСерияНомер, СпособЗачетаПредоплатыПоУмолчанию, СпособРазнесенияОплатыПоУмолчанию, СтатьяДДСПоУмолчанию_Key, КодПоОКПО, СчетУчетаАвансовПокупателя_Key, СчетУчетаАвансовПоставщику_Key, СчетУчетаРасчетовСПокупателем_Key, СчетУчетаРасчетовСПоставщиком_Key, УдалитьАдресЭП, УдалитьДоговорПоУмолчанию_Key, УдалитьНомерТелефона, ФИО, ДополнительныеРеквизиты, КонтактнаяИнформация, Теги"
"Catalog_Лиды","StandardODATA.Catalog_Лиды","29","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Parent_Key, IsFolder, DeletionMark, АдресЭПДляПоиска, ВариантЗавершения, ГруппаДоступа_Key, ДатаЗавершенияРаботы, ДатаСоздания, ЗаметкиЗавершенияРаботы, ИсточникПривлечения_Key, Комментарий, КонтактыПеренесены, НаименованиеКомпании, НомерТелефонаДляПоиска, ОсновныеСведения, Ответственный_Key, ПричинаНеуспешногоЗавершенияРаботы_Key, СостояниеЛида_Key, ДополнительныеРеквизиты, КонтактнаяИнформация, Теги, УдалитьКонтактнаяИнформация, УдалитьКонтакты"
"Catalog_Номенклатура","StandardODATA.Catalog_Номенклатура","121","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Parent_Key, IsFolder, DeletionMark, Артикул, АлкогольнаяПродукция, ЕдиницаИзмерения_Key, ВариантОграниченияСертификата, ВариантПечатиНабора, ВерхняяГраницаОстатков, Вес, Весовой, ВидАлкогольнойПродукции_Key, ВидМаркировки, ВидПродукцииИС, АвтоматическиГенерироватьПартии, ВыписыватьГарантийныйТалон, Высота, ГарантийныйСрок, ДатаИзменения, ДатаОкончанияДействия, Длина, ИспользоватьСерииНоменклатуры, Изготовитель_Key, ИмпортнаяАлкогольнаяПродукция, ИсключитьИзПрайсЛистов, ИспользоватьДатуПроизводстваПартии, ИспользоватьЗаписьСкладскогоЖурналаВЕТИСПартии, ИспользоватьИдентификаторПартииВЕТИСПартии, ИспользоватьНомерПартии, ИспользоватьПартии, ИспользоватьПроизводителяВЕТИСПартии, НаименованиеПолное, ИспользоватьСрокГодностиПартии, ИспользоватьХарактеристики, КатегорияНоменклатуры_Key, КиЗГИСМ, КиЗГИСМGTIN, КиЗГИСМВид, КиЗГИСМРазмер, КиЗГИСМСпособВыпускаВОборот, КодМедицинскогоИзделия, КоличествоПериодовДействия, Комментарий, Крепость, МетодОценки, СтранаПроисхождения_Key, НаправлениеДеятельности_Key, Недействителен, НижняяГраницаОстатков, Номинал, НормаВремени, ОбувнаяПродукция, Объем, ОбъемДАЛ, PS_ВидНоменклатурыБУ, PS_ТипНоменклатурыБУ, PS_ГруппаЗапЧастейБУ, PS_Упаковка_Key, PS_НаборУпаковок_Key, Периодичность, ПодконтрольнаяПродукцияВЕТИС, Поставщик_Key, ПроверятьЗаполнениеПартий, ПроверятьЗаполнениеХарактеристики, Производитель_Key, ПроизводительИмпортерАлкогольнойПродукции_Key, ПроизвольныйНоминал, РеквизитДопУпорядочиванияУНФ, РекомендуемЗаказать, Склад_Key, СпособОграниченияСертификата, СпособПополнения, СпособРасчетаЦеныНабора, СредствоИндивидуальнойЗащиты, СрокДействияФлагаНовинка, СрокИсполненияЗаказа, СрокПополнения, ВидСтавкиНДС, СчетУчетаДоходов_Key, СчетУчетаЗапасов_Key, СчетУчетаЗатрат_Key, ТабачнаяПродукция, УдалитьСтавкаНДС_Key, ТипСрокаДействия, ТНВЭДГИСМ, ТоварнаяНоменклатураВЭД_Key, ТолькоПоддержкаОстаткаПриРасчетеПотребностей, УдалитьСпецификация_Key, ТипНоменклатуры, ФайлКартинки_Key, ФиксированнаяСтоимость, ЦеноваяГруппа_Key, ЧастичноеПогашение, ШиныИПокрышки, Ширина, ЭтоНабор, ЭтоНовинка, Ячейка_Key, ПодакцизныйТовар, ПолитикаУчетаСерий_Key, ИндивидуальныеНастройкиПолитикиУчетаСерий, ИспользоватьСрокГодностиСерии, ИспользоватьДатуПроизводстваСерии, ТочностьУказанияСрокаГодностиСерии, ИспользоватьУникальныеСерии, ЭтоАгентскаяУслуга, Договор_Key, СрокГодности, ЕдиницаИзмеренияСрокаГодности, ПрослеживаемыйТовар, ВесПоСертификатуТовара, КодОКПД2, ДополнительныеРеквизиты, НоменклатураГруппыЦеновыеГруппы, PS_ТипНоменклатурыБУ_Type"
"Catalog_ПрайсЛисты","StandardODATA.Catalog_ПрайсЛисты","56","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, DeletionMark, Автор_Key, Валюта_Key, ВариантыСортировки, ВидЦен1_Key, ВидЦен2_Key, ВидЦенСравнить, ВидЦенУсловие, ВыводитьДатуФормирования, ДатаРасчетаКурсаВалюты, ДатаФормирования, ЕстьИзменныеОпцииОтборов, ЕстьИзменныеОпцииОформления, ИерархияСодержимого, ИзменятьРазмерПропорционально, Индивидуальный, ИсключитьПустыеВидыЦен, КартинкаВысота, КартинкаШирина, КоличествоКолонок, МаксимальнаяЦена, МинимальнаяЦена, НазваниеЦеныПредставлением, Недействителен, НоменклатураБезЦен, Описание, Организация_Key, ОтборОрганизация_Key, ОтборСклад_Key, ОтмечатьНовинки, ПериодЦен, ПечатьПрайсЛиста, ПредставлениеОстатков, ТекстовоеПредставлениеОстатковДостаточно, ТекстовоеПредставлениеОстатковМало, ТекстовоеПредставлениеОстатковМного, УдалитьВыводитьКонтактнуюИнформацию, УдалитьПоложениеТекстаОтносительноМеткиНовинка, УказатьКонтактыОтветственного, УсловнаяЦена, УсловнаяЦенаЗначение, УсловнаяЦенаЗначениеДо, УсловнаяЦенаУсловие, ФормироватьПоНаличию, ПредставлениеНоменклатуры, Номенклатура, ВидыЦен, КатегорииНоменклатуры, ЦеновыеГруппы, ОтборНоменклатуры"
"Catalog_СерверыДокументооборота","StandardODATA.Catalog_СерверыДокументооборота","12","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, DeletionMark, АдресЭлектроннойПочтыФНС, ДлительностьОжиданияСервера, Сертификат, АдресЭлектроннойПочтыПФР, АдресЭлектроннойПочтыФСГС"
"Catalog_СерииНоменклатуры","StandardODATA.Catalog_СерииНоменклатуры","20","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Owner_Key, DeletionMark, Продан, НомерКиЗГИСМ, RFIDTID, RFIDUser, RFIDEPC, EPCGTIN, НомерГИСМ, ГоденДо, ДатаПроизводства, ПроизводительВЕТИС_Key, ЗаписьСкладскогоЖурналаВЕТИС_Key, ИдентификаторПартииВЕТИС, ДополнительныеРеквизиты"
"Catalog_СлужбыДоставки","StandardODATA.Catalog_СлужбыДоставки","20","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, DeletionMark, ФормулаСтоимости, ФормулаСебестоимости, ВариантУчета, УдалитьСтатьяЗатрат_Key, ИдентификаторЯндекса, ВозможенСамопривозНаЕдиныйСклад, ВозможенЗаборНаЕдиныйСклад, ВозможенСамопривозНаСкладСлужбыДоставки, ВозможенЗаборНаСкладСлужбыДоставки, ПараметрыРасчетов, ЗначенияФормулы, ДоступныеСпособыДоставки, ДоступныеСпособыОтгрузки"
"Catalog_СлужбыДоставки_ДоступныеСпособыДоставки","StandardODATA.Catalog_СлужбыДоставки_ДоступныеСпособыДоставки","3","Ref_Key, LineNumber, СпособДоставки"
